sequence_name
*fl2d1
*tse2d1_13
*se2d1
*tir2d1_21
*ep_b0
*ep_b0_1000
*tfl3d1
*fl3d1_ns
*re_b0
*re_b0_1000
*spcir_242ns
*qfl2d1
*tse2d1_17
*tfl3d1_16
*tseB2d1_35
*tseR2d1rr18
*tse2d1_3
*me2d1r4
*qtse2d1_17
*tir2d1_5
*spcir_278ns
*tfl3d1_16ns
*spcir_220ns
*pc3d1
*tse2d2_6
*tir2d1_19
*tse2d1rr2
*tir2d1_17
*fl2d1r
*qtir2d1_4
*re_b1000t
*tfl3d1_224ns
*spcR_53
*h2d1_320
*spcR_42ns
*spcR_80z
*tseR2d1_15
*tse2d1_15
*spcir_244ns
*fl3d1r_t70
*tirW2d1_18
*h2d1_256
*tseBR2d1_35
*tir2d1_16
*ep_b1000t
*tse2d2_5
*tir2d1rs21
*ep_b500t
*fl3d1
*tse2d1rs13
*tir2d1_15
